wordID,word,meanings__context,meanings__words__001,meanings__words__002,meanings__words__003,meanings__words__004,meanings__words__005,meanings__words__006,meanings__words__007,meanings__words__008
1,Raya,Es muy difícil encontrar una raya en el acuario.,Pez,Negro,Peligro,Mantarraya,Tiburón,Animal,Marino,Mar
,,"Después de borrar su hoja, no le quedó ni una raya.",Línea,Recta,Palo,Lapiz,Geométrica,Lado,Dibujo,Curvo
2,Llama,"En su viaje a Jujuy, comió una milanesa de llama.",Animal,Camélido,Mamífero,Andino,Cuadrupedo,Pelos,Doméstico,Norte
,,Usaron un encendedor para prender la llama.,Fuego,Vela,Mechero,Parrilla,Cocinar,Calor,Incendio,Combustión
3,Salamandra,La salamandra era muy escurridiza y se movía por todo el lugar.,Lagarto,Reptil,Camaleón,Animal,Anfibio,Lagartija,Iguana,Vertebrado
,,Su padre compró una salamandra para evitar el frío en invierno.,Estufa,Carbon,Llamas,Calefacción,Madera,Calor,Humo,Hierro
4,Muñeca,El se quebró la muñeca jugando al paddle.,Brazo,Piel,Mano,Cuerpo,Persona,Articulación,Pulsera,Reloj
,,Su diversión favorita era jugar con su muñeca en el parque.,Juguete,Trapo,Niña,Niño,Infancia,Juego,Vestido,Entretenimiento
5,Palma,El ruido de un chasquido es producido por el golpe del pulgar con la palma.,Brazo,Piel,Mano,Cuerpo,Aplauso,Dedos,Falanges,Apretón
,,La palma tardó muchísimos años en llegar a tener esa altura.,Vegetal,Verdura,Palmera,Fruto,Verde,Caribe,Tropical,Aceite
6,Peso,Todo lo que me queda es un peso argentino.,Moneda,Billete,Economía,Dinero,Dólar,Cambio,Plata,Valor
,,El se pasó de peso en su equipaje y tuvo que empezar a sacar cosas de su valija.,Gravedad,Masa,Kilo,Pesado,Balanza,Gramos,Newton,Medida
7,Banco,El banco cerró y tuvo que despedir a todos sus empleados.,Préstamo,Crédito,Débito,Dinero,Cajero,Dólar,Pesos,Cheque
,,En su carpintería estaba fabricando un banco.,Silla,Sentarse,Parque,Exteriores,Escuela,Escritorio,Asiento,Plaza
8,Tarjeta,"Si no pagaba la tarjeta, iba a tener que pagar intereses.",Crédito,Débito,Préstamo,Dinero,Acciones,Dólar,Pesos,Pago
,,"Para felicitarlo, le dieron una tarjeta que contenía el nombre de todos.",Papel,Saludo,Invitación,Carta,Información,Regalo,Felicitación,Dirigida
9,Granada,Comer granada es delicioso.,Tropical,Semillas,Fruta,Granadina,Caribe,Rojo,Dulce,Mango
,,"Con una sola granada, abatió a 5 enemigos.",Guerra,Armamento,Armas,Solados,Violencia,Destrucción,Ataque,Militar
10,Lima,Fue a buscar una lima que tenía en la heladera.,Ácido,Limón,Limónero,Tragos,Caipirinha,Fruta,Mandarina,Cítrico
,,Con su lima pudo darle forma al latón.,Metal,Herramienta,Lija,Taller,Mecanico,Técnico,Limar,Corte
11,Mango,No podría parar de comer mango.,Tropical,Semillas,Fruta,Árbol,Caribe,Jugoso,Cáscara,Pulpa
,,Usaba el mango para agarrarlo y que no se le cayera.,Herramientas,Hacha,Lima,Martillo,Taller,Sartén,Manija,Madera
12,Copa,Fueron los vencedores y obtuvieron la copa.,Oro,Trofeo,Triunfo,Ganador,Premio,Campeonato,Campeón,Torneo
,,Tomaron de la misma copa para mostrar que no estaba envenenada.,Vaso,Vino,Champagne,Borracho,Alcohólico,Cristal,Bebida,Fiesta
13,Arco,No paraban de darle al arco.,Deporte,Fútbol,Hockey,Portería,Gol,Apuntar,Arquero,Red
,,El arco se veía gigante desde cerca.,Triunfo,Arquitectura,Puerta,Curva,Construcción,Abierto,Abertura,Pared
14,Penal,Messi se preparó para ejecutar el penal.,Deporte,Fútbol,Hockey,Handbol,Gol,Corner,Patear,Barrera
,,Del juzgado fueron directo al penal.,Abogados,Condena,Crimen,Juicio,Cárcel,Delito,Prisión,Criminal
15,Pico,Cuando llegaron al pico estaban muy cansados.,Montaña,Monte,Altura,Naturaleza,Rocas,Piedras,Cumbre,Cima
,,Tuvieron que usar pico y pala para poder sacar los escombros.,Herramientas,Hacha,Lima,Martillo,Taller,Pinza,Golpear,Picar
16,Cabo,Desde la ventana de su hotel tenían muy buena vista del cabo.,Faro,Costa,Bahía,Golfo,Acantilado,Playa,Península,Mar
,,El cabo estaba muy tranquilo respecto a cuál iba a ser el resultado de la guerra.,Militar,Soldado,Sargento,Teniente,Coronel,Comandante,Tropa,Infantería
17,Sierra,Hicieron un trekking a través de las sierra.,Montaña,Monte,Cordillera,Naturaleza,Rocas,Nevada,Cumbre,Cima
,,Usaron la sierra para dividirlo en dos.,Metal,Latón,Herramienta,Lija,Taller,Mecanico,Serrucho,Madera
18,Cólera,La cólera lo estaba matando.,Medicina,Virus,Enfermedad,Infección,Heces,Diarrea,Bacteria,Fallo
,,Su equipo perdió y lo único que sentía era cólera.,Ira,Enojo,Ataque,Furia,Emoción,Frustración,Enfado,Rabia
19,Buzo,"Al entrar, tuvo que sacarse el buzo.",Prenda,Ropa,Abrigo,Campera,Canguro,Capucha,Cardigan,Sweater
,,El buzo entrenó durante mucho tiempo antes del rescate.,Barco,Marino,Buceo,Submarino,Profundidad,Agua,Mar,Oxígeno
20,Sostén,Entró a la tienda a comprar un sostén nuevo.,Prenda,Ropa,Intimo,Calzon,Broche,Lencería,Pecho,Sujetador
,,Gracias a todo el sostén pudo salir adelante.,Apoyo,Ayuda,Psicólogo,Emociónes,Felicidad,Tristeza,Familia,Bienestar
21,Taco,Se le rompió el taco durante la fiesta.,Prenda,Ropa,Calzado,Tacón,Pie,Altura,Dolor,Bota
,,Ese taco estaba deliciosos.,México,Carne,Comida,Verdura,Pollo,Burrito,Guacamole,Picante
22,Pluma,En el colegio usaba todos los días la pluma que le había regalado su abuelo.,Caligrafía,Bolígrafo,Escritura,Tinta,Lapicera,Firma,Palabras,Escribir
,,"Después del ataque del gato, no le quedó ni una pluma.",Ave,Pájaro,Paloma,Pelaje,Blanco,Ligero,Calor,Piel
23,Hoja,Tuvo que sacar una hoja en el medio del examen.,Caligrafía,Bolígrafo,Escritura,Tinta,Documento,Firma,Palabras,Blanco
,,El jardinero pasó y no dejó ni una hoja en el piso.,Árbol,Clorofila,Fotosíntesis,Flores,Verde,Otoño,Planta,Verdura
24,Regla,"Para trazar una línea recta, coloca una regla sobre el papel.",Trazo,Herramienta,Recta,Dibujo,Escuadra,Medida,Medición,Centímetro
,,"En el trabajo, es fundamental seguir la regla de cumplimiento de normas de seguridad para evitar accidentes.",Norma,Ley,Contrato,Convivencia,Estricto,Deber,Obligación,Pasos
25,Goma,"Para corregir los errores en el boceto, usa una goma de borrar suave para no dañarlo.",Lápiz,Borrado,Papel,Escritura,Dibujo,Limpio,Blanco,Tinta
,,"Durante el viaje, pinché la goma del coche al pasar por un objeto punzante en la carretera.",Mecánico,Taller,Auto,Vehículo,Coche,Caucho,Camión,Llanta
26,Raíz,"La raíz cuadrada de un número es el valor que, al ser multiplicado por sí mismo, da como resultado el número original.",Potencia,Cuenta,Cálculo,Matemática,Ecuación,Números,Multiplicación,División
,,"Los árboles absorben agua y nutrientes del suelo gracias a su raíz, que también le proporciona estabilidad.",Plantas,Árboles,Vegetales,Clorofila,Naturaleza,Frutas,Verduras,Tallo
27,Cuarto,Laura notó que estaba satisfecha con solo comer un cuarto del alfajor.,Medida,Cálculo,Fracción,Porción,Denominador,Número,Cuatro,Parte
,,El cuarto de un adolescente suele estar desordenado y sucio.,Habitación,Lugar,Espacio,Cama,Pieza,Alojamiento,Casa,Dormitorio
28,Medio,"Los hermanos cortaron la milanesa al medio, para que cada uno tenga la misma cantidad.",Medida,Cálculo,Fracción,Porción,Denominador,Número,Cuatro,Parte
,,"Mariana había dejado la silla en el medio del camino, imposibilitando el paso.",Lugar,Posición,Atrás,Adelante,Izquierda,Derecha,Centro,Simétrico
29,Cuenta,Estaba tan nervioso durante el exámen que no pudo hacer ninguna cuenta sin la calculadora.,Cálculo,Ecuación,Número,Escuela,Matemática,Suma,Ecuación,Resta
,,"Al momento de asociarse al nuevo banco, le abrieron una cuenta para poder ingresar su salario.",Sueldo,Dinero,Compras,Crédito,Balance,Valor,Bancario,Ahorro
30,Nota,Cada nota que tocaba emocionaba más que la anterior.,Do,Fa,Piano,Guitarra,Música,Instrumento,Conservatorio,Sonido
,,Obtuvo una muy buena nota.,Examen,Escuela,Educación,Apunte,Calificación,Sobresaliente,Calificaciones,Boletín
31,Órgano,Era muy talentoso tocando el órgano.,Piano,Música,Canción,Iglesia,Instrumento,Teclado,Cuerdas,Partitura
,,Tuvo que recibir un trasplante debido a la falla de su órgano.,Cuerpo,Víscera,Cerebro,Corazón,Hígado,Humano,Cirujano,Vida
32,Batería,Los vecinos se quejaban porque estaba tocando la batería.,Platillos,Ritmo,Música,Tambor,Rock,Jazz,Baqueta,Baterista
,,Su celular se quedó sin batería.,Energía,Electricidad,Recargable,Pila,Celular,Cargador,Laptop,Corriente
33,Izquierda,Su primo era muy de izquierda.,Comunismo,Socialismo,Rojo,Igualdad,Revolución,Política,Cuba,Ideología
,,"Cómo se lastimó la izquierda, no podía hacer nada.",Lado,Lugar,Ubicación,Posición,Orientación,Derecha,Direccion,Indicación
34,Partido,No le gustaban las ideas del otro partido.,Diputado,Congreso,Política,Sociedad,Militancia,Economía,Presidente,Política
,,Todos los domingos juegan un partido.,Deporte,Competencia,Triunfo,Juego,Ganador,Premio,Empate,Perdedor
35,Campaña,No cumplió nada de lo que prometió en campaña.,Política,Candidato,Elecciones,Agrupaciones,Presidente,Diputados,Senadores,Congreso
,,Hicieron una campaña por las vacaciones.,Campo,Carpa,Camping,Fogata,Fogón,Llanura,Pastizal,Campiña
36,Estado,Un estado es una organización constituida por un conjunto de instituciones burocráticas.,Política,Sociedad,Economía,Senadores,Congreso,País,Nación,Gobierno
,,Era muy difícil describir su estado.,Cansancio,Tristeza,Calma,Éxtasis,Emoción,Locura,Feliz,Mental
37,Pastor,El pastor rezaba todas las mañanas.,Religión,Iglesia,Misa,Sacerdote,Evangelico,Eucaristía,Religioso,Jesucristo
,,Al pastor le encantaba cuidar a sus animales.,Ovejas,Trabajador,Agricultura,Monte,Campo,Vacas,Ganado,Fábula
38,Oración,Recitó la oración del día que estaba escrita en el antiguo testamento.,Religión,Iglesia,Misa,Fe,Plegaria,Evangelio,Rezo,Rosario
,,Su oración estaba llena de faltas de ortografía.,Libro,Texto,Palabras,Lectura,Lingüística,Gramática,Párrafo,Leer
39,Función,"Antes de que empiece la función, los espectadores deben estar acomodados en sus asientos.",Teatro,Actores,Personajes,Drama,Dramaturgo,Escritor,Obra,Vestuarios
,,La relación es lineal cuando la imágen se encuentra en función del dominio.,Cálculo,Ecuación,Número,Escuela,Matemática,Ciencia,Despeje,Fórmula
40,Obra,Los espectadores aplaudieron con entusiasmo al finalizar la obra.,Teatro,Actores,Personajes,Drama,Dramaturgo,Escritor,Musical,Comedia
,,Miguel está cansado de escuchar los golpes de la obra que estaban construyendo al lado de su casa.,Cemento,Arquitecto,Albañil,Albañilería,Casa,Edificio,Obrero,Pintura
41,Plataforma,El contenido de la materia será subido a la plataforma de aprendizaje al finalizar la clase.,Videos,Web,Tecnología,Streaming,Digital,Herramienta,Computadora,Internet
,,Juan decidió votarlo porque la plataforma del postulante coincide con su ideología.,Política,Sociedad,Economía,Agrupaciones,Presidente,Diputados,Senadores,Congreso
42,Viral,Martina subió el video de su prima cayéndose pensando que podía hacerse viral.,Noticias,Social,Famoso,Instagram,Facebook,Medios,Conocido,Alcance
,,La nueva cepa de la gripe resultó ser una enfermedad viral muy contagiosa. ,Virus,Enfermedad,Infección,Bacteria,Daño,Hospital,Médico,Respiratorio
43,Red,"Cuando llegó la navidad, todos empezaron a mandar mensajes de texto y la red se colapsó.",Servidores,Internet,Web,Social,Facebook,Instagram,Conectar,Vínculo
,,Los hermanos volvieron contentos del río con la red llena de peces.,Hilos,Pesca,Pez,Atrapar,Araña,Captura,Trampa,Pescado
44,Aplicación,La promoción sólo es válida para compras en la aplicación.,Celular,Programa,Internet,Plataforma,Herramienta,Conexión,Android,iPhone
,,"Para que la herida sane, la médica le enseñó cómo hacer la correcta aplicación del producto.",Pomada,Crema,Ungüento,Medicamento,Curación,Farmacia,Inyección,Medicina
45,Expreso,El expreso llegó velozmente a destino ya que no tiene más paradas intermedias.,Tren,Transporte,Vagón,Locomotora,Maquinista,Vehículo,Rápido,Tiempo
,,"Al pasar por la cafetería, pidió el expreso para llevar.",Café,Cappuccino,Descafeinado,Granos,Bebida,Energizante,Molino,Cafeína
46,Móvil,"A los 18 años, Martín sacó su registro y manejó el móvil de sus padres por primera vez.",Auto,Coche,Vehículo,Transporte,Automóvil,Carro,Moto,Movilizar
,,La llamada llegaba pero el móvil estaba en silencio.,Celular,Teléfono,Android,Iphone,Apple,Samsung,Telecomunicaciones,Internet
47,Metro,Estaban a sólo dos estaciones de metro para llegar.,Tren,Transporte,Vagón,Locomotora,Maquinista,Vehículo,Subterraneo,Subte
,,"Para medir la madera con mayor precisión, recordá llevar el metro contigo.",Herramienta,Medición,Medida,Modista,Carpintero,Carpintería,Ropa,Tamaño
48,Estación,El hotel tiene cerca una estación que lo lleva al centro de la ciudad.,Tren,Transporte,Vagón,Parada,Maquinista,Vehículo,Subterraneo,Subte
,,"Al viajar a europa en julio, recordá llevar ropa liviana ya que es la estación mas calurosa.",Primavera,Otoño,Verano,Invierno,Calendario,Planeta,Época,Soleado